Target,Source,Weight,Type
USPEC_POLITICS_GENERAL1,donald trump,5804,directed
TAX_POLITICAL_PARTY,donald trump,4994,directed
TAX_POLITICAL_PARTY_REPUBLICAN,donald trump,4463,directed
LEADER,donald trump,4412,directed
TAX_FNCACT_NOMINEE,donald trump,3390,directed
TAX_FNCACT_PRESIDENT,donald trump,3275,directed
ELECTION,donald trump,3164,directed
TAX_FNCACT_CANDIDATE,donald trump,3054,directed
EPU_POLICY_POLITICAL,donald trump,2271,directed
CRISISLEX_T11_UPDATESSYMPATHY,donald trump,2145,directed
SOC_POINTSOFINTEREST_UNIVERSITY,donald trump,1842,directed
TRIAL,donald trump,1835,directed
TAX_ETHNICITY_AMERICAN,donald trump,1640,directed
DEMOCRACY,hillary clinton,1618,directed
EPU_CATS_NATIONAL_SECURITY,donald trump,1370,directed
TAX_POLITICAL_PARTY_DEMOCRATS,hillary clinton,1265,directed
TAX_FNCACT_MINISTER,narendra modi,1221,directed
TAX_FNCACT_VETERANS,donald trump,1214,directed
TAX_FNCACT_PRIME_MINISTER,narendra modi,1160,directed
EPU_POLICY_WHITE_HOUSE,donald trump,1145,directed
TAX_FNCACT_SECRETARY,hillary clinton,1143,directed
TAX_FNCACT_CANDIDATES,donald trump,1127,directed
TAX_POLITICAL_PARTY_REPUBLICANS,donald trump,1122,directed
ECON_HOUSING_PRICES,donald trump,1113,directed
TAX_ETHNICITY_AMERICANS,donald trump,1110,directed
TAX_FNCACT_OFFICER,los angeles,1109,directed
TAX_FNCACT_OFFICERS,los angeles,1063,directed
TAX_FNCACT_REPORTER,donald trump,1052,directed
TAX_FNCACT_LEADER,donald trump,1044,directed
TAX_FNCACT_VETERAN,donald trump,947,directed
TAX_FNCACT_JUDGE,donald trump,944,directed
TAX_WORLDMAMMALS_FOX,donald trump,924,directed
PROTEST,donald trump,919,directed
TAX_FNCACT_SECRETARY_OF_STATE,hillary clinton,893,directed
TAX_FNCACT_SUPPORTERS,hillary clinton,890,directed
CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE,los angeles,872,directed
TAX_FNCACT_VICTIMS,los angeles,828,directed
TAX_FNCACT_WRITER,donald trump,821,directed
TAX_FNCACT_SENATOR,hillary clinton,788,directed
TAX_FNCACT_DIRECTOR,donald trump,772,directed
TAX_FNCACT_CHIEF,los angeles,768,directed
TAX_FNCACT_CHANCELLOR,angela merkel,744,directed
CORRUPTION,donald trump,700,directed
TAX_FNCACT_MUSICIAN,jeff daniels,687,directed
TAX_ETHNICITY_GERMAN,angela merkel,683,directed
TAX_WORLDLANGUAGES_GERMAN,angela merkel,683,directed
IMMIGRATION,donald trump,680,directed
EPU_POLICY_CONGRESS,barack obama,651,directed
TAX_POLITICAL_PARTY_DEMOCRAT,hillary clinton,647,directed
SOC_POINTSOFINTEREST_COLLEGE,donald trump,645,directed
TAX_FNCACT_EXECUTIVE,donald trump,644,directed
TAX_FNCACT_GOVERNOR,donald trump,644,directed
TAX_ETHNICITY_JAPANESE,shinzo abe,643,directed
TAX_WORLDLANGUAGES_JAPANESE,shinzo abe,643,directed
TAX_MILITARY_TITLE_OFFICER,los angeles,613,directed
TAX_FNCACT_BUSINESSMAN,donald trump,597,directed
